file,issue_type,details
2001/rvacuum.html,missing_poster_reference,No poster image reference found
2001/rvalentine.html,thin_content,Modern content is 45% of legacy length (2679 vs 5917 chars)
2001/rwidow.html,missing_director,No Director listed in film-credits
2001/rwidow.html,missing_imdb_link,No IMDB link in film card
2001/rwidow.html,missing_poster_reference,No poster image reference found
2001/rwiser.html,missing_director,No Director listed in film-credits
2001/rwiser.html,missing_imdb_link,No IMDB link in film card
2001/rwiser.html,missing_poster_reference,No poster image reference found
2001/rworst.html,missing_director,No Director listed in film-credits
2001/rworst.html,missing_imdb_link,No IMDB link in film card
2001/rworst.html,missing_poster_reference,No poster image reference found
2001/rzoolander.html,thin_content,Modern content is 21% of legacy length (1668 vs 7696 chars)
2002/f13conv.html,missing_director,No Director listed in film-credits
2002/f13conv.html,missing_imdb_link,No IMDB link in film card
2002/f13conv.html,missing_poster_reference,No poster image reference found
2002/f9queens.html,missing_imdb_link,No IMDB link in film card
2002/f9queens.html,missing_poster_reference,No poster image reference found
2002/faboutaboy.html,empty_content,Article body has only 1 <p> tag(s)
2002/faboutaboy.html,missing_director,No Director listed in film-credits
2002/faboutaboy.html,missing_imdb_link,No IMDB link in film card
2002/faboutaboy.html,missing_poster_reference,No poster image reference found
2002/faboutaboy.html,thin_content,Modern content is 21% of legacy length (91 vs 427 chars)
2002/faboutaboy1.html,missing_director,No Director listed in film-credits
2002/faboutaboy1.html,missing_imdb_link,No IMDB link in film card
2002/faboutaboy1.html,missing_poster_reference,No poster image reference found
2002/fagitator.html,missing_director,No Director listed in film-credits
2002/fagitator.html,missing_imdb_link,No IMDB link in film card
2002/fagitator.html,missing_poster_reference,No poster image reference found
2002/famericangun.html,missing_director,No Director listed in film-credits
2002/famericangun.html,missing_imdb_link,No IMDB link in film card
2002/famericangun.html,missing_poster_reference,No poster image reference found
2002/fararat.html,missing_director,No Director listed in film-credits
2002/fararat.html,missing_imdb_link,No IMDB link in film card
2002/fararat.html,missing_poster_reference,No poster image reference found
2002/fbeckett.html,missing_imdb_link,No IMDB link in film card
2002/fbeckett.html,missing_poster_reference,No poster image reference found
2002/fbiggie.html,empty_content,Article body has only 1 <p> tag(s)
2002/fbiggie.html,missing_director,No Director listed in film-credits
2002/fbiggie.html,missing_imdb_link,No IMDB link in film card
2002/fbiggie.html,missing_poster_reference,No poster image reference found
2002/fbiggie.html,thin_content,Modern content is 17% of legacy length (71 vs 406 chars)
2002/fcatsmeow.html,missing_director,No Director listed in film-credits
2002/fcatsmeow.html,missing_imdb_link,No IMDB link in film card
2002/fcatsmeow.html,missing_poster_reference,No poster image reference found
2002/fdagon.html,missing_director,No Director listed in film-credits
2002/fdagon.html,missing_imdb_link,No IMDB link in film card
2002/fdagon.html,missing_poster_reference,No poster image reference found
2002/fdodger.html,missing_director,No Director listed in film-credits
2002/fdodger.html,missing_imdb_link,No IMDB link in film card
2002/fdodger.html,missing_poster_reference,No poster image reference found
2002/fdrumline.html,missing_director,No Director listed in film-credits
2002/fdrumline.html,missing_imdb_link,No IMDB link in film card
2002/fdrumline.html,missing_poster_reference,No poster image reference found
2002/fearnest.html,empty_content,Article body has only 1 <p> tag(s)
2002/fearnest.html,missing_director,No Director listed in film-credits
2002/fearnest.html,missing_imdb_link,No IMDB link in film card
2002/fearnest.html,missing_poster_reference,No poster image reference found
2002/fearnest.html,thin_content,Modern content is 25% of legacy length (90 vs 348 chars)
2002/ffamily.html,missing_director,No Director listed in film-credits
2002/ffamily.html,missing_imdb_link,No IMDB link in film card
2002/ffamily.html,missing_poster_reference,No poster image reference found
2002/ffast.html,missing_imdb_link,No IMDB link in film card
2002/ffast.html,missing_poster_reference,No poster image reference found
2002/ffears.html,missing_imdb_link,No IMDB link in film card
2002/ffears.html,missing_poster_reference,No poster image reference found
2002/ffears2.html,missing_director,No Director listed in film-credits
2002/ffears2.html,missing_imdb_link,No IMDB link in film card
2002/ffears2.html,missing_poster_reference,No poster image reference found
2002/ffocus.html,missing_director,No Director listed in film-credits
2002/ffocus.html,missing_imdb_link,No IMDB link in film card
2002/ffocus.html,missing_poster_reference,No poster image reference found
2002/fgoodgirl.html,missing_director,No Director listed in film-credits
2002/fgoodgirl.html,missing_imdb_link,No IMDB link in film card
2002/fgoodgirl.html,missing_poster_reference,No poster image reference found
2002/fgosford.html,missing_imdb_link,No IMDB link in film card
2002/fgosford.html,missing_poster_reference,No poster image reference found
2002/fharry.html,empty_content,Article body has only 1 <p> tag(s)
2002/fharry.html,missing_director,No Director listed in film-credits
